education,food,commerce,finance,health,kindergarten,school,edu_buf,food_buf,fin_buf,commerce_buf,subway_buf,bus_buf,tram_stop,building_id,y,x
1,0,1,0,1,2,1,1,1,0,0,0,1,0,191,"59.83419014","30.18185989"
0,0,0,0,0,5,2,1,0,0,4,0,1,0,192,"59.86015430","30.18258273"
0,0,1,0,0,5,5,1,0,0,0,0,0,0,193,"59.85412975","30.18390613"
0,0,0,0,0,5,5,1,0,0,2,0,1,0,194,"59.85536850","30.18349376"
0,0,0,0,0,8,3,1,0,0,3,0,0,0,195,"59.85897738","30.18345493"
0,0,0,0,0,2,1,0,0,0,0,0,1,0,196,"59.83094810","30.18278517"
0,0,0,0,0,4,2,0,0,0,2,0,0,0,197,"59.86376797","30.18302027"
0,0,0,0,0,3,1,0,0,0,0,0,2,0,198,"59.83001422","30.18298692"
0,0,0,0,0,2,2,0,0,0,1,0,2,0,199,"59.83227122","30.18302215"
0,0,0,0,0,3,1,0,0,0,0,0,1,0,200,"59.82919006","30.18310073"
0,0,0,0,0,5,3,1,0,0,0,0,0,0,201,"59.85744680","30.18310150"
0,0,0,0,0,4,2,1,0,0,6,0,0,0,202,"59.86330169","30.18339570"
0,0,0,0,0,2,1,0,0,0,0,0,0,0,203,"59.82821042","30.18358052"
0,0,1,0,0,2,1,1,0,0,2,0,1,0,204,"59.83249500","30.18406324"
0,0,1,0,0,5,4,0,0,0,5,0,1,0,205,"59.85634492","30.18447869"
0,0,0,0,0,4,1,1,0,0,13,0,0,0,206,"59.86257850","30.18350875"
0,0,1,0,0,2,1,1,1,0,1,0,0,0,207,"59.83174420","30.18382525"
0,0,0,0,0,6,4,0,0,0,2,0,0,0,208,"59.85828051","30.18556210"
0,0,1,0,0,2,1,0,1,0,0,0,0,0,209,"59.83116820","30.18404650"
0,0,1,0,0,7,2,1,0,2,4,0,0,0,210,"59.85964748","30.18400360"
0,1,0,0,0,4,1,0,0,0,6,0,0,0,211,"59.86240135","30.18416281"
0,0,0,0,0,6,2,0,2,0,7,0,0,0,212,"59.86112260","30.18512575"
0,0,0,0,0,2,1,0,0,0,0,0,0,0,213,"59.82780024","30.18484837"
1,1,1,0,0,2,1,0,1,0,0,0,0,0,214,"59.83108851","30.18572680"
