building_area,living_area,population_balanced,y,x,building_id
487.55,341.285,14,59.85797398,30.2002397,366
1585.53,12267.2,406,59.98621671,30.20052312,367
1208.08,8786.5,267,59.98547565,30.20031242,368
1869.41,12749,561,59.82840705,30.2001631,369
1930.97,12822.7,566,59.83151682,30.20018453,370
896.344,5950.6,318,59.8514675,30.20075492,371
494.701,8657.26,249,59.99578688,30.20040381,372
2445.75,16276.4,679,59.82747176,30.2020055,373
1001.02,6790.2,378,59.85302165,30.2010929,374
3104.94,35024.7,1017,59.98965089,30.20163165,375
3445.13,45050.3,1375,59.99645888,30.20124211,376
555.95,7504.8,409,59.85258902,30.20060243,377
661.495,2435.28,101,59.83421354,30.20054792,378
1110.89,6607,340,59.84877586,30.20071939,379
332.633,2749.27,103,59.82926963,30.20062157,380
1923.9,12760.4,477,59.83698158,30.20139543,381
2276.65,11383.1,426,59.83354578,30.20184251,382
1432.27,11600.4,323,60.00727279,30.20109161,383
4115.46,38141.5,1125,59.99989507,30.20166529,384
1833.84,17958,332,59.93899412,30.20138919,385
2327.25,13946.5,572,59.83270057,30.20229199,386
2113.32,17751.9,478,59.98770139,30.20140862,387
2202.68,14951.2,744,59.85045576,30.20150727,388
832.923,3178.19,116,59.835931,30.20182063,389
814.673,3183.53,129,59.83531754,30.20108387,390
1098.57,9058.8,278,59.99182211,30.20176932,391
1634.94,19350,326,59.86024805,30.20196945,392
3791.32,30497,1593,59.8542276,30.20234876,393
611.443,7064.5,361,59.85242356,30.20127851,394
1741.33,12838.6,514,59.83009522,30.20139802,395
1697.09,13523.6,383,60.00412303,30.20213008,396
1362.61,9323.41,419,59.82843932,30.2014419,397
3258.18,21996.8,1088,59.84721063,30.20294143,398
3291.93,21756.4,1134,59.85088145,30.20326362,399
576.958,4780,218,59.8364078,30.20176163,400
1781.5,21429.2,610,59.99835656,30.2020031,401
1703.63,22204.8,726,60.00317325,30.20221637,402
839.182,3181.37,138,59.83533377,30.20186737,403
3625.45,40605.1,1150,60.00115297,30.20256015,404
886.622,3533.08,155,59.83087693,30.20245491,405
897.355,3501.89,146,59.8293477,30.20255527,406
839.069,6514,208,59.99895732,30.20227979,407
5161.21,48841.5,2565,59.85237935,30.20368938,408
2604.7,29294.3,550,59.94000959,30.20346213,409
2378.6,25743.8,756,59.9904545,30.20278126,410
789.594,3177.91,141,59.8364139,30.2032759,411
3169.06,28120.9,1462,59.85521988,30.20383159,412
1759.74,8374.8,239,60.00940232,30.20305226,413
2638.37,25838.8,772,59.99684511,30.20310719,414
1255.14,15540.9,450,60.00634871,30.20309561,415
1145.34,13376.1,412,59.99161279,30.20287671,416
495.391,346.774,13,60.00340325,30.20285249,417
840.185,3183.6,127,59.8353465,30.2026396,418
473.806,5431.9,160,60.00596209,30.20275295,419
1346.45,9332.3,380,59.82845835,30.20274415,420
502.569,4615.47,210,59.83781604,30.2030087,421
1423.92,8738.3,255,60.0085101,30.20365998,422
947.748,5885.1,298,59.84773835,30.20352458,423
476.527,2422.5,65,59.93933741,30.20328192,424
660.095,2387.26,107,59.83409775,30.2032103,425
2396.41,15910.5,747,59.84961839,30.20361112,426
314.847,2764.07,117,59.83102008,30.20348332,427
1813.28,12712.4,485,59.83463831,30.20475035,428
2436.97,27227.9,503,59.93929385,30.20452228,429
1626.67,22585.3,642,60.00374459,30.20405873,430
2854.2,1997.94,80,60.00703468,30.20473833,431
309.058,2750.8,115,59.82923829,30.20362403,432
695.108,2439.09,99,59.83763384,30.20421196,433
1654.33,11217.2,458,59.83183335,30.20378645,434
1679.01,12475,381,60.0047876,30.20439899,435
1759.75,8361,227,60.01023123,30.20442424,436
2342.53,1639.771,66,60.00051005,30.20496024,437
861.787,10442.8,320,60.00639103,30.20427757,438
3941.29,37104.4,1983,59.85673001,30.20486721,439
1506.29,11150.5,474,59.82842629,30.20401953,440
2836.95,33759.7,636,59.93592631,30.20494025,441
694.341,6803.1,204,60.00912509,30.20433795,442
445.673,2629.9,84,60.00949673,30.20446323,443
509.234,356.464,7,59.93804315,30.20509966,444
2782.3,19913.2,593,59.98514519,30.2048079,445
2194.96,27769,498,59.9385341,30.20538764,446
635.676,2443.85,112,59.83692435,30.20458475,447
804.058,3179.16,124,59.83641783,30.20537442,448
694.319,6043,196,60.00965867,30.20514586,449
3252.7,25326.1,1080,59.83263592,30.20597997,450
1849.48,12691.1,524,59.8313489,30.20495735,451
525.139,4622.66,177,59.83936526,30.2051316,452
4138.47,52144.7,1051,59.93373977,30.20528398,453
1881.67,12833.3,567,59.8290362,30.20509905,454
2305.35,25619.3,707,59.99687163,30.20579855,455
692.483,4080.1,214,59.84953006,30.20508673,456
911.334,11097.8,317,60.00618892,30.2055034,457
1875.02,12684,536,59.83795712,30.20589499,458
2707.85,10987.7,538,59.85736565,30.20618694,459
503.479,352.4353,14,60.0082551,30.20533609,460
1412.75,6710.3,210,59.98429005,30.205999,461
912.079,7588.1,396,59.84994433,30.20543787,462
1513.2,13909.3,422,59.99818651,30.20544609,463
2426.41,15653.2,854,59.85865985,30.20581414,464
1497.4,11009.6,489,59.82671187,30.20537133,465
802.857,5664.8,255,59.82790379,30.20550641,466
4301.2,44772,2282,59.8533998,30.20718699,467
1757.93,12822.8,514,59.84041667,30.20607297,468
578.532,4074.1,207,59.85032568,30.20534139,469
823.434,10526.9,311,60.0057497,30.20568834,470
1959.61,16332.8,500,59.98715431,30.20565168,471
2548.05,16174.9,682,59.82504632,30.20541773,472
883.141,6304.6,185,60.00523226,30.20564878,473
1626.82,22628.1,696,60.00429107,30.20593384,474
665.827,2450.05,95,59.8388744,30.20590295,475
2058.04,13238.5,545,59.8317868,30.20625427,476
448.689,2597.2,75,60.00987702,30.20577054,477
951.64,4856.7,208,59.83089653,30.20599078,478
988.427,8302.79,233,60.0081603,30.20615291,479
3067.63,34357.5,1027,59.99910197,30.20607271,480
1722.57,8295.6,251,60.01055302,30.206404,481
3123.01,25915.4,737,59.98766655,30.20769609,482
917.869,642.5083,26,59.85456422,30.20641622,483
694.293,6009.5,168,60.00974849,30.20649368,484
889.594,5800.6,151,60.00531612,30.20645225,485
915.523,7543,405,59.84792854,30.20651378,486
660.768,2338.74,103,59.83415307,30.20636837,487
2175.22,18146.4,539,59.98597539,30.20704411,488
1226.21,9362.2,512,59.84849215,30.20670218,489
2143.84,11226.5,478,59.83364386,30.20773345,490
2018.23,12702.8,516,59.83084569,30.20692145,491
835.685,3161.73,125,59.836029,30.2073375,492
877.216,3152.54,130,59.83541278,30.20660973,493
1649.51,11201.2,319,59.98887725,30.2071819,494
2021.89,22645.2,660,59.99914135,30.20723587,495
2701.28,28865.7,1557,59.85147052,30.20772151,496
2214.28,17030.3,521,59.98978632,30.20722327,497
4790.64,37053.4,1076,60.00046019,30.20758133,498
627.347,2446.75,106,59.83907664,30.20706365,499
2375.29,15919.9,834,59.85943821,30.20803632,500
1814.58,17522.9,506,60.00664631,30.2073553,501
521.104,4377.27,132,60.00803133,30.20702847,502
483.293,3684.9,119,59.98519574,30.20701697,503
711.378,7967.43,165,59.94567133,30.20756693,504
3513.19,21840.3,1177,59.85580035,30.20795622,505
3951.3,2765.91,117,59.85419416,30.20873766,506
2274.05,15119.5,794,59.84961756,30.20728596,507
889.334,6088.6,335,59.84785915,30.20755603,508
5871.7,49322.3,933,59.94394787,30.20746953,509
1810.44,9374.7,386,59.82887715,30.20727151,510
849.049,7397.7,190,59.98481055,30.20743022,511
57.3488,963.459,24,60.0047012,30.20776407,512
3302.35,46232.9,1894,59.84159445,30.20821902,513
1643.89,11097.1,472,59.84046221,30.20819557,514
1932.04,17061.4,502,60.00941746,30.2085228,515
840.769,3126.05,119,59.83542628,30.20739298,516
1333.89,933.723,37,60.00790712,30.20811261,517
2135.2,17768.7,513,59.99145713,30.2078911,518
1980.9,12227.6,483,59.83856934,30.20811877,519
1920.94,8006,238,59.98417032,30.20849454,520
1252.01,8719,424,59.8488966,30.20849658,521
829.505,3174.21,143,59.83958516,30.20825394,522
2654.11,7311.9,403,59.85675331,30.2089571,523
901.581,10728.8,228,59.94586726,30.2082687,524
1026.5,6812.3,189,59.98865327,30.20860881,525
670.418,7508.69,106,59.9427001,30.20880383,526
841.59,3166.62,112,59.83543953,30.20816773,527
1062.52,11428.2,333,60.00862861,30.20843505,528
2263.7,14261.3,736,59.84698197,30.20891333,529
1881.02,12831.1,534,59.82930247,30.20836453,530
684.865,7670.48,322,59.82803763,30.20853501,531
3416.96,35650.4,1077,60.00314852,30.20912472,532
743.049,6008.1,177,59.99207631,30.20890944,533
3614.86,29529.8,940,59.99713591,30.20919664,534
863.4,3165.71,131,59.8372908,30.20854435,535
2103.55,14634.3,792,59.84942896,30.20974926,536
2136.06,17942.9,375,59.94569806,30.20979443,537
3432.33,14746.8,469,59.98658847,30.21003878,538
1690.72,2367,54,60.00631024,30.209019,539
856.015,3179.23,131,59.83954115,30.20920173,540
849.035,3176.09,121,59.83788009,30.20943839,541
4064.24,36686.5,1104,60.0050884,30.2097491,542
1612.54,11139.6,459,59.83651155,30.20982335,543
12823.4,116693,2253,59.94050196,30.21239068,544
516.828,361.7796,14,60.00775244,30.20917807,545
946.139,9892.1,340,60.01042015,30.20936718,546
813.406,5398.5,214,59.83460105,30.20903525,547
1754.64,11054.2,449,59.84103694,30.209646,548
